name,slug,value,date_of_information,ranking,region
"North Macedonia","north-macedonia","53,572,000.0","2019 est.","96","Europe"
"Lebanon","lebanon","53,528,000.0","2019 est.","97","Middle East"
"Armenia","armenia","53,019,000.0","2019 est.","98","Middle East"
"Kosovo","kosovo","51,462,000.0","2019 est.","99","Europe"
"Saint Lucia","saint-lucia","50,872,000.0","2019 est.","100","Central America and the Caribbean"
"Jamaica","jamaica","49,700,000.0","2019 est.","101","Central America and the Caribbean"
"Guyana","guyana","48,608,000.0","2019 est.","102","South America"
"Costa Rica","costa-rica","44,899,000.0","2019 est.","103","Central America and the Caribbean"
"Ecuador","ecuador","42,564,000.0","2019 est.","104","South America"
"Moldova","moldova","40,398,000.0","2019 est.","105","Europe"
"Egypt","egypt","40,063,000.0","2019 est.","106","Africa"
"Grenada","grenada","39,799,000.0","2019 est.","107","Central America and the Caribbean"
"Jordan","jordan","39,331,000.0","2019 est.","108","Middle East"
"Dominican Republic","dominican-republic","39,016,000.0","2019 est.","109","Central America and the Caribbean"
"Albania","albania","38,442,000.0","2019 est.","110","Europe"
"Dominica","dominica","37,513,000.0","2019 est.","111","Central America and the Caribbean"
"Peru","peru","36,465,000.0","2019 est.","112","South America"
"Vietnam","vietnam","36,392,000.0","2019 est.","113","East and Southeast Asia"
"Tunisia","tunisia","35,620,000.0","2019 est.","114","Africa"
"Kyrgyzstan","kyrgyzstan","35,059,000.0","2019 est.","115","Central Asia"
"Colombia","colombia","34,703,000.0","2019 est.","116","South America"
"Botswana","botswana","34,095,000.0","2019 est.","117","Africa"
"Fiji","fiji","32,901,000.0","2019 est.","118","Australia and Oceania"
"Cuba","cuba","32,785,000.0","2019 est.","119","Central America and the Caribbean"
"Belize","belize","31,552,000.0","2019 est.","120","Central America and the Caribbean"
"Namibia","namibia","29,811,000.0","2019 est.","121","Africa"
